Fra Station Stationsnavn,Total,Albertslund,Alken,Allerød,Arden,Aulum,Avedøre,Bagsværd,Ballerup,Bedsted Thy,Bernstorffsvej,Birk Centerpark,Birkerød,Bispebjerg,Bjerringbro,Bording,Borris,Borup,Bramming,Brande,Bred,Bredebro,Brejning,Brøndby Strand,Brøndbyøster,Brønderslev,Brøns,Brørup,Buddinge,Bur,Børkop,Carlsberg,Charlottenlund,Danshøj,Dybbølsbro,Dyssegård,Døstrup Sønderjylland,Egedal,Ejby,Emdrup,Engesvang,Esbjerg,Eskilstrup,Espergærde,Farum,Flintholm,Fredericia,Frederikshavn,Frederikssund,Friheden,Fruens Bøge,Fuglebakken,Gadstrup,Gelsted,Gentofte,Give,Gjesing,Glostrup,Glumsø,Gredstedbro,Greve,Grøndal,Gråsten,Guldager,Gørding,Gårde,Hadsten,Hammerum,Hareskov,Haslev,Havdrup,Hedehusene,Hedensted,Hee,Hellerup,Helsingør,Herfølge,Herlev,Herning,Herning Messecenter,Hillerød,Hinnerup,Hjallese,Hjerm,Hjørring,Hobro,Holbæk,Holme-Olstrup,Holmstrup,Holstebro,Holsted,Holte,Horsens,Humlebæk,Humlum,Hundige,Hurup Thy,Husum,Hvalsø,Hvidbjerg,Hviding,Hvidovre,Højby,Høje Taastrup,Hørdum,Hørning,Ikast,Ishøj,Islev,Jelling,Jersie,Jyderup,Jyllingevej,Jægersborg,Kalundborg,Karlslunde,Kavslunde,KB Hallen,Kibæk,Kildebakke,Kildedal,Klampenborg,Kliplev,Knabstrup,Kokkedal,Kolding,Korsør,Kvissel,Kværndrup,København H,Københavns Lufthavn Kastrup,Køge,Langeskov,Langgade,Langå,Laven,Lejre,Lem,Lille Skensved,Lindholm,Lundby,Lunderskov,Lyngby,Lyngs,Malmparken,Middelfart,Mørkøv,Måløv,Nivå,Nordhavn,Ny Ellebjerg,Nyborg,Nykøbing F.,Næstved,Næstved Nord,Nørre Alslev,Nørre Aaby,Nørrebro,Nørreport,Oddesund Nord,Odense,Odense Sygehus,Ordrup,Padborg,Pederstrup,Peter Bangs Vej,Puttgarden,Randers,Regstrup,Rejsby,Ribe,Ribe Nørremark,Ringe,Ringkøbing,Ringsted,Roskilde,Rudme,Rungsted Kyst,Ry,Ryparken,Rødby Færge,Rødekro,Rødkærsbro,Rødovre,Sejstrup,Sig,Silkeborg,Sindal,Sjælør,Sjørring,Skalbjerg,Skalborg,Skanderborg,Skive,Skjern,Skodsborg,Skovbrynet,Skovlunde,Skærbæk,Skørping,Slagelse,Snedsted,Snekkersten,Solrød Strand,Sorgenfri,Sorø,Spangsbjerg,Stengården,Stenløse,Stenstrup,Stenstrup Syd,Stoholm,Struer,Studsgård,Støvring,Svanemøllen,Svebølle,Svejbæk,Svendborg,Svendborg Vest,Svenstrup Jylland,Sydhavn,Sønderborg,Tarm,Taulov,Thisted,Thyregod,Tim,Tinglev,Tistrup,Tjæreborg,Tolne,Tommerup,Trekroner,Troldhede,Tureby,Tølløse,Tønder,Tønder Grænse,Tønder Nord,Tårnby,Taastrup,Udland via Helsingør-Helsingborg overfart,Udland via Padborg grænse,Udland via Øresundsforbindelsen,Uglev,Ulfborg,Ulstrup,Valby,Vallensbæk,Vamdrup,Vangede,Vanløse,Varde,Varde Kaserne,Varde Nord,Vedbæk,Vejen,Vejle,Vejle Sygehus,Veksø,Vemb,Vesterport,Viborg,Viby J,Viby Sj,Vigerslev Allé,Vildbjerg,Vinderup,Vipperød,Virum,Visby,Vojens,Vordingborg,Vrå,Værløse,Ydby,Ølby,Ølgod,Ølstykke,Ørestad,Østerport,Aalborg,Aalborg Vestby,Aalborg Øst,Ålholm,Åmarken,Aarhus H,Årslev,Aarup
Total,189.317.207,1.696.520,25.750,1.197.189,56.171,54.506,794.125,896.707,2.138.624,24.616,411.687,19.958,1.215.344,1.012.347,138.279,28.150,12.900,375.849,276.584,94.393,3.572,39.761,41.426,793.284,883.426,246.658,8.788,53.911,1.019.878,7.764,65.861,1.448.853,791.979,344.764,2.399.402,265.849,9.164,267.765,54.256,793.149,49.871,796.087,36.847,583.284,890.898,2.476.711,742.626,232.046,913.323,1.213.480,24.553,789.914,49.302,49.735,594.917,78.378,43.249,2.423.658,120.850,36.982,989.879,685.742,24.583,13.846,24.106,10.958,209.257,25.460,287.725,312.694,86.635,276.855,162.824,9.191,3.822.967,1.303.466,56.912,1.725.650,644.170,5.248,2.334.026,148.500,33.321,19.197,478.975,245.590,1.050.353,31.357,6.062,406.400,38.790,1.103.748,825.218,728.818,10.840,1.224.618,66.629,854.002,456.495,26.454,18.228,863.642,21.601,2.984.979,10.481,115.286,103.686,1.658.392,348.863,79.968,395.176,151.811,215.565,521.380,203.781,486.102,4.287,532.407,30.681,333.085,77.467,590.996,6.671,37.436,1.005.295,861.156,335.881,10.176,35.440,16.645.865,5.099.449,1.613.777,51.403,354.675,131.103,28.170,212.890,32.517,52.056,124.119,59.576,73.867,3.562.373,6.004,785.895,393.498,98.206,795.507,431.251,2.862.149,1.318.424,676.693,437.077,1.211.073,55.715,94.118,66.563,2.278.295,16.139.759,1.025,3.106.294,125.094,699.693,26.153,7.646,419.478,182.098,361.902,56.216,11.337,168.933,43.800,167.336,97.431,1.228.456,4.094.000,7.083,517.326,225.144,1.522.793,22.673,85.848,46.206,941.340,9.816,18.731,435.394,73.861,1.030.487,13.102,3.404,30.909,605.399,158.633,177.794,216.546,133.960,731.472,64.788,167.623,1.397.602,33.020,373.362,799.500,450.612,480.417,76.592,361.962,699.566,57.275,10.280,54.973,254.112,9.605,118.555,2.412.585,34.262,35.637,357.676,90.244,63.022,1.007.460,97.302,44.215,17.524,116.815,35.551,14.915,55.457,37.177,46.465,10.099,63.411,1.051.100,17.897,34.482,376.422,78.193,1.598,40.792,829.140,1.280.517,372.415,179.577,5.628.862,5.910,33.629,51.057,4.167.055,743.890,51.042,505.252,2.225.053,187.672,19.501,28.780,307.386,173.991,1.192.051,8.213,259.516,30.630,3.658.478,369.114,127.577,318.789,718.321,69.406,29.778,101.181,585.107,9.635,81.476,422.203,105.823,730.592,7.089,968.067,74.190,586.140,1.358.663,4.858.801,1.104.860,125.583,19.257,675.621,360.871,3.424.196,66.798,68.033
Albertslund,1.696.520,,,1.714,,,857,1.600,726,,1.671,,1.759,18.613,5,,1,1.039,,,,,,107,36.454,,,,2.222,,,55.372,1.274,10.576,56.263,1.090,,75,,3.743,2,97,,960,1.129,25.043,118,,426,490,,14.898,73,,2.575,,,201.543,382,,294,9.703,,,,,,,89,854,79,1.232,,,9.719,2.158,54,411,1,1,4.368,,,,,,2.188,157,,,,1.633,42,764,,442,,1.079,1.540,,2,32.619,,158.680,1,,4,408,1.465,,151,274,485,1.869,555,189,,5.804,,1.025,131,1.023,,36,1.397,233,700,,,159.292,12.922,1.022,,467,,,537,,,,115,,8.066,,1.602,87,114,649,669,22.576,10.714,562,1.034,4.881,241,247,,39.930,232.509,,2.680,36,1.624,,,2.904,,,59,1,14,2,,3,4.872,23.710,,532,6,14.243,232,,,75.210,,,46,,505,1,,,,32,6,428,134,1.476,2,,5.879,,676,100,1.262,1.146,,822,650,,,,,5,,13.924,79,,,,,951,,4,,9,,,,,,,,6.297,,,476,4,,1,2.008,90.269,1.314,,19.827,1,1,,118.750,367,,1.503,2.362,43,,,134,,173,,,6,54.328,30,,1.222,6.937,,1,139,1.513,,,774,,251,,640,2,303,4.070,37.759,,,,5.105,177,484,,
Alken,25.750,,,,,,,1,1,,,2,,,2,8,,1,,1,,,,,,5,,,,,,,,,,,,,,,31,2,,,,,11,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,224,,1,,,,,6,1,,,3,,,448,3,,,,,,,,1,,5,,84,7,,,,,,,,,,,,2,,,,,,,10,2,,,134,19,1,,,47,,,,,1,,,2,,,2,,,,,,2,,,,,,,4,,264,4,,,,,,95,,,1,,,3,,2,,,4.621,5,,,,2,,,2.638,,,,,,5.099,8,3,,,,,2,,,,,,,,,,,,,2,,,,,,3,1,,,1,1,,,,,,,,,,,1,,,,,,1,,,,,,,,6,,,,2,5,,,,,24,,,,,11,668,,,,,,,,1,,,,,,,,,3,15,,,,,11.183,,
Allerød,1.197.189,1.714,,,,,1.106,36,672,2,2.955,1,86.351,9.919,2,,,177,,,,,,989,1.068,,,,100,,,3.093,1.364,689,10.541,458,,,,2.156,5,121,,78,49,9.578,283,,327,3.345,,6.465,,,4.708,,,1.295,206,,953,5.382,,,,,,,129,227,,116,,,40.613,96,,377,,2,226.613,,,,,,727,33,,,,31.065,184,372,4,1.085,8,155,237,1,,538,,1.289,,,34,1.929,223,,830,51,115,2.323,250,405,,1.746,,121,,145,,,,340,271,,,67.653,3.319,2.352,,685,,,51,,,,,,126.220,,739,313,23,103,247,48.153,3.693,931,570,1.466,,147,,26.906,237.343,,3.245,,1.893,,,191,,,,,15,4,,9,648,2.148,,47,13,7.736,18,,1,497,,,80,,5.226,3,,,,15,14,125,,562,2,,1.389,5,49,969,4.055,460,,167,135,,107,,1,,,30.662,,2,70,,,6.961,,3,,603,,,,,,,,792,,209,299,11,,,658,1.104,2.106,,3.187,,1,,6.280,727,,97,848,9,,,65,,376,,,,53.867,45,,14,2.518,,2,281,10.408,,,384,,,,1.436,2,222,1.676,47.645,241,,4,2.039,923,830,,
Arden,56.171,,,,,2,,,,,,,112,,101,,,8,10,,3,,4,,,23,,,,,2,,,,,,,,,,,105,1,6,,,84,76,,,,,,,,,,,,,,,5,,1,,79,1,,,,,6,1,35,2,,,34,,,1,,,369,8.383,6,,,12,4,,106,2,,,,,,1,,,1,64,2,,20,,,,,1,,,2,,,,,,,2,,,4,67,38,,,743,120,4,7,,196,,,,,261,1,2,,1,,54,,,1,,1,37,20,12,,,,,5,,152,2,,6,,,,2.707,,,,,,,60,86,,,6,,,22,5,,,,28,,,,1,1.651,140,19,2,11,,,1,5.713,87,,6,,,126,,,,4,,4,17,,6.594,,1,,12,3,1.854,,3,,,,1,,4,,,,,,,,,,,,1,,,2,,,,17,101,,3,,,15,,,,5,182,,,,,136,,2,,,3,,,,7,10,,,,,,,1,12,19.035,819,,,,5.241,,
Aulum,54.506,,,,2,,,,,15,,118,,,11,,,9,6,93,,,,,,1,,,,,4,,,,,,,,1,,,68,,7,,,182,10,,,,,,,,46,2,,,,,,1,1,2,,7,11,,,13,,6,,92,7,,,21.959,,,1,2,,11,6,3,,,16.080,,,195,5,,,21,,,,,,1,179,11,14,140,,,68,,,,,2,,,,,,,11,,,2,44,18,,3,1.108,203,1,,,332,1,,,,1,,5,,,,20,3,,,,3,23,21,8,,,2,,26,,317,5,,,,,,47,,,2,,8,,23,40,,2,30,,,10,,,,,320,2,,16,,,382,342,35,1,,,,3,66,1,2,,,11,,,,,,2,1.987,,,,,5,21,9,,,13,,,95,57,,4,,,,3,,,,6,1,,,5,,,2,111,,,5,57,,2,,,9,,2,1,12,532,3,,47,,16,33,6,,6.135,,,,,10,3,,,12,1,9,,11,26,38,,,,,2.279,,19
Avedøre,794.125,857,,1.106,,,,1.915,3.139,,210,,1.927,5.178,2,,,59,,,,,,59.230,619,,,,651,,,1.056,675,728,33.181,695,,,,1.682,,126,,182,1.190,7.772,,,250,120.089,,5.121,51,,753,,,566,77,,7.022,4.237,,,,,,,282,398,,21,,,5.483,939,,2.212,,,4.445,,,,,,456,107,,,,607,,300,,19.813,,409,315,,,428,,339,,,,58.828,142,,836,89,354,1.029,162,2.642,,1.863,,447,117,,,,324,92,233,,,78.451,5.159,5.512,,,,,297,,,,43,,9.202,,2.194,,50,465,178,11.509,20.580,235,321,579,,,,15.531,114.293,,548,,157,,,394,,,,,,,,,257,1.107,,71,,3.499,,,,464,,,,,22.732,,,,,,1,106,206,653,,,604,,201,4.587,432,202,,284,439,,,,,,,12.105,18,,,,,15.112,,,,,,,,,,,,99,,,34,,,,1.329,698,103,,1.560,,,,1.548,30.387,,591,240,1,,,51,,,,49,,27.726,1,,54,1.618,,33,,257,,,81,,479,,3.046,,187,1.181,14.235,,,,1.494,14.015,186,,
Bedsted Thy,24.616,,,2,,15,,,,,,,,,10,,,8,18,6,,,1,,5,,,,,,8,,1,,,,,,,,,3,,2,9,,67,3,4,,,,,,,12,,6,,,,,,,,,23,4,,,,,,,12,45,,4,110,,3,2,,1,2,3,,,,424,,2,42,,42,,6.655,,,39,,1,,70,,4,15,,,5,,1,,,,,,,,,,13,,,,2,3,,,560,37,,,,18,,,3,,,,,2,12,,4,,,17,2,2,2,19,25,,2,3,1,10,,39,1,,3,,,,51,,,,,,14,10,24,,,,,,5,,,,,18,,,938,,,34,125,11,1,,,,,29,1.224,,,,,,,2,,,1,776,,,7,,2,13,1,,,2,1,,12.124,,,,,,,,,,,,1,,,1,,,4,,8,1,,19,,,4,,2,,,,1,33,5,,1,,36,1,2,,12,4,,1,,1,3,,,,,1,,1,5,3,,1,,,597,,
Bernstorffsvej,411.687,1.671,,2.955,,,210,83,230,,,,3.599,2.822,,,,25,,,,,,585,1.359,,,,214,,,2.286,382,1.222,2.964,454,,116,,464,,,,416,540,5.700,99,,517,1.440,,3.740,,,5.271,,,2.631,,,489,2.524,,,,,,,,62,,26,,,25.684,998,,596,,,4.421,,,,,,364,,,,,9.662,64,348,,404,,651,174,,,1.392,,1.252,,,,1.015,,,122,,254,8.525,61,240,,2.126,,,147,3.823,,,1.157,90,86,,,18.459,2.578,1.481,,205,,,28,,,,,,40.479,,385,98,,716,295,16.160,1.782,408,214,843,,,,8.827,94.754,,1.473,,1.206,,,467,,,,,3,1,,,643,2.260,,322,10,2.276,,,,840,,,9,,1.922,,,,,1,,238,90,253,,,750,1,242,454,4.947,677,,,215,,,,,,,16.061,,2,,,,2.080,,,,2,,,,,,,,320,,,36,1,,,254,1.655,44,,656,,,,6.311,80,,387,88,125,,,358,,135,,,12,28.384,1,,,746,,,,6.974,,,250,,567,,929,,315,624,25.686,,,,1.974,360,507,,
Birkerød,1.215.344,1.759,,86.351,112,,1.927,159,160,,3.599,1,,8.230,19,29,,174,,,,,,1.323,746,,,,,,,2.693,2.504,1.464,10.322,173,,,,1.578,1,90,,42,,8.133,292,,88,2.403,,6.463,6,,8.602,,,653,45,1,516,5.788,,,,,,,,253,16,292,,,44.894,132,,737,71,,195.775,,,,,,689,,,,,68.421,222,94,,1.851,13,62,135,1,,892,,1.227,6,,13,2.010,315,,504,,218,2.447,203,359,,2.282,,320,,211,,,43,433,337,,,45.315,3.702,2.397,,1.103,,,385,,,,,,166.305,,67,251,54,,55,41.997,5.307,1.909,403,1.002,2.104,101,,23.397,214.137,,3.811,,2.170,,,287,,,,,14,1,96,11,917,3.628,,68,16,7.642,22,,2,962,,1,66,,7.543,3,,,371,32,19,169,,190,1,,2.428,3,20,1.642,6.993,410,1,63,,,,5,,,,29.986,,4,304,,,7.743,,5,,20,,,,1,,,,543,,,349,5,,,592,1.046,3.409,,5.156,,2,19,6.645,805,,310,729,151,3,,467,188,589,,,,51.893,51,,83,4.219,,,,13.464,,,482,,46,,891,5,,1.244,47.130,130,,2,2.650,924,1.542,,
