Fra Station Stationsnavn;Albertslund;Alken;Alleroed;Arden;Aulum;Avedoere;Bagsvaerd;Ballerup;Bedsted Thy;Bernstorffsvej;Birk Centerpark;Birkeroed;Bispebjerg;Bjerringbro;Bording;Borris;Borup;Bramming;Brande;Bred;Bredebro;Brejning;Broendby Strand;Broendbyoester;Broenderslev;Broens;Broerup;Buddinge;Bur;Boerkop;Carlsberg;Charlottenlund;Danshoej;Dybboelsbro;Dyssegaard;Doestrup Soenderjylland;Egedal;Ejby;Emdrup;Engesvang;Esbjerg;Eskilstrup;Espergaerde;Farum;Flintholm;Fredericia;Frederikshavn;Frederikssund;Friheden;Fruens Boege;Fuglebakken;Gadstrup;Gelsted;Gentofte;Give;Gjesing;Glostrup;Glumsoe;Gredstedbro;Greve;Groendal;Graasten;Guldager;Goerding;Gaarde;Hadsten;Hammerum;Hareskov;Haslev;Havdrup;Hedehusene;Hedensted;Hee;Hellerup;Helsingoer;Herfoelge;Herlev;Herning;Herning Messecenter;Hilleroed;Hinnerup;Hjallese;Hjerm;Hjoerring;Hobro;Holbaek;Holme-Olstrup;Holmstrup;Holstebro;Holsted;Holte;Horsens;Humlebaek;Humlum;Hundige;Hurup Thy;Husum;Hvalsoe;Hvidbjerg;Hviding;Hvidovre;Hoejby;Hoeje Taastrup;Hoerdum;Hoerning;Ikast;Ishoej;Islev;Jelling;Jersie;Jyderup;Jyllingevej;Jaegersborg;Kalundborg;Karlslunde;Kavslunde;KB Hallen;Kibaek;Kildebakke;Kildedal;Klampenborg;Kliplev;Knabstrup;Kokkedal;Kolding;Korsoer;Kvissel;Kvaerndrup;Koebenhavn H;Koebenhavns Lufthavn Kastrup;Koege;Langeskov;Langgade;Langaa;Laven;Lejre;Lem;Lille Skensved;Lindholm;Lundby;Lunderskov;Lyngby;Lyngs;Malmparken;Middelfart;Moerkoev;Maaloev;Nivaa;Nordhavn;Ny Ellebjerg;Nyborg;Nykoebing F;Naestved;Naestved Nord;Noerre Alslev;Noerre Aaby;Noerrebro;Noerreport;Oddesund Nord;Odense;Odense Sygehus;Ordrup;Padborg;Pederstrup;Peter Bangs Vej;Puttgarden;Randers;Regstrup;Rejsby;Ribe;Ribe Noerremark;Ringe;Ringkoebing;Ringsted;Roskilde;Rudme;Rungsted Kyst;Ry;Ryparken;Roedby Faerge;Roedekro;Roedkaersbro;Roedovre;Sejstrup;Sig;Silkeborg;Sindal;Sjaeloer;Sjoerring;Skalbjerg;Skalborg;Skanderborg;Skive;Skjern;Skodsborg;Skovbrynet;Skovlunde;Skaerbaek;Skoerping;Slagelse;Snedsted;Snekkersten;Solroed Strand;Sorgenfri;Soroe;Spangsbjerg;Stengaarden;Stenloese;Stenstrup;Stenstrup Syd;Stoholm;Struer;Studsgaard;Stoevring;Svanemoellen;Sveboelle;Svejbaek;Svendborg;Svendborg Vest;Svenstrup Jylland;Sydhavn;Soenderborg;Tarm;Taulov;Thisted;Thyregod;Tim;Tinglev;Tistrup;Tjaereborg;Tolne;Tommerup;Trekroner;Troldhede;Tureby;Toelloese;Toender;Toender Graense;Toender Nord;Taarnby;Taastrup;Udland via Helsingoer-Helsingborg overfart;Udland via Padborg graense;Udland via oeresundsforbindelsen;Uglev;Ulfborg;Ulstrup;Valby;Vallensbaek;Vamdrup;Vangede;Vanloese;Varde;Varde Kaserne;Varde Nord;Vedbaek;Vejen;Vejle;Vejle Sygehus;Veksoe;Vemb;Vesterport;Viborg;Viby J;Viby Sj;Vigerslev Allé;Vildbjerg;Vinderup;Vipperoed;Virum;Visby;Vojens;Vordingborg;Vraa;Vaerloese;Ydby;oelby;oelgod;oelstykke;oerestad;oesterport;Aalborg;Aalborg Vestby;Aalborg oest;aalholm;aamarken;Aarhus H;aarslev;Aarup
Albertslund;;;1714;;;857;1600;726;;1671;;1759;18613;5;;1;1039;;;;;;107;36454;;;;2222;;;55372;1274;10576;56263;1090;;75;;3743;2;97;;960;1129;25043;118;;426;490;;14898;73;;2575;;;201543;382;;294;9703;;;;;;;89;854;79;1232;;;9719;2158;54;411;1;1;4368;;;;;;2188;157;;;;1633;42;764;;442;;1079;1540;;2;32619;;158680;1;;4;408;1465;;151;274;485;1869;555;189;;5804;;1025;131;1023;;36;1397;233;700;;;159292;12922;1022;;467;;;537;;;;115;;8066;;1602;87;114;649;669;22576;10714;562;1034;4881;241;247;;39930;232509;;2680;36;1624;;;2904;;;59;1;14;2;;3;4872;23710;;532;6;14243;232;;;75210;;;46;;505;1;;;;32;6;428;134;1476;2;;5879;;676;100;1262;1146;;822;650;;;;;5;;13924;79;;;;;951;;4;;9;;;;;;;;6297;;;476;4;;1;2008;90269;1314;;19827;1;1;;118750;367;;1503;2362;43;;;134;;173;;;6;54328;30;;1222;6937;;1;139;1513;;;774;;251;;640;2;303;4070;37759;;;;5105;177;484;;
Alken;;;;;;;1;1;;;2;;;2;8;;1;;1;;;;;;5;;;;;;;;;;;;;;;31;2;;;;;11;2;;;;;;;;;;;;;;;;;;;;2;;;;;;;2;;;;224;;1;;;;;6;1;;;3;;;448;3;;;;;;;;1;;5;;84;7;;;;;;;;;;;;2;;;;;;;10;2;;;134;19;1;;;47;;;;;1;;;2;;;2;;;;;;2;;;;;;;4;;264;4;;;;;;95;;;1;;;3;;2;;;4621;5;;;;2;;;2638;;;;;;5099;8;3;;;;;2;;;;;;;;;;;;;2;;;;;;3;1;;;1;1;;;;;;;;;;;1;;;;;;1;;;;;;;;6;;;;2;5;;;;;24;;;;;11;668;;;;;;;;1;;;;;;;;;3;15;;;;;11183;;
Alleroed;1714;;;;;1106;36;672;2;2955;1;86351;9919;2;;;177;;;;;;989;1068;;;;100;;;3093;1364;689;10541;458;;;;2156;5;121;;78;49;9578;283;;327;3345;;6465;;;4708;;;1295;206;;953;5382;;;;;;;129;227;;116;;;40613;96;;377;;2;226613;;;;;;727;33;;;;31065;184;372;4;1085;8;155;237;1;;538;;1289;;;34;1929;223;;830;51;115;2323;250;405;;1746;;121;;145;;;;340;271;;;67653;3319;2352;;685;;;51;;;;;;126220;;739;313;23;103;247;48153;3693;931;570;1466;;147;;26906;237343;;3245;;1893;;;191;;;;;15;4;;9;648;2148;;47;13;7736;18;;1;497;;;80;;5226;3;;;;15;14;125;;562;2;;1389;5;49;969;4055;460;;167;135;;107;;1;;;30662;;2;70;;;6961;;3;;603;;;;;;;;792;;209;299;11;;;658;1104;2106;;3187;;1;;6280;727;;97;848;9;;;65;;376;;;;53867;45;;14;2518;;2;281;10408;;;384;;;;1436;2;222;1676;47645;241;;4;2039;923;830;;
Arden;;;;;2;;;;;;;112;;101;;;8;10;;3;;4;;;23;;;;;2;;;;;;;;;;;105;1;6;;;84;76;;;;;;;;;;;;;;;5;;1;;79;1;;;;;6;1;35;2;;;34;;;1;;;369;8383;6;;;12;4;;106;2;;;;;;1;;;1;64;2;;20;;;;;1;;;2;;;;;;;2;;;4;67;38;;;743;120;4;7;;196;;;;;261;1;2;;1;;54;;;1;;1;37;20;12;;;;;5;;152;2;;6;;;;2707;;;;;;;60;86;;;6;;;22;5;;;;28;;;;1;1651;140;19;2;11;;;1;5713;87;;6;;;126;;;;4;;4;17;;6594;;1;;12;3;1854;;3;;;;1;;4;;;;;;;;;;;;1;;;2;;;;17;101;;3;;;15;;;;5;182;;;;;136;;2;;;3;;;;7;10;;;;;;;1;12;19035;819;;;;5241;;
Aulum;;;;2;;;;;15;;118;;;11;;;9;6;93;;;;;;1;;;;;4;;;;;;;;1;;;68;;7;;;182;10;;;;;;;;46;2;;;;;;1;1;2;;7;11;;;13;;6;;92;7;;;21959;;;1;2;;11;6;3;;;16080;;;195;5;;;21;;;;;;1;179;11;14;140;;;68;;;;;2;;;;;;;11;;;2;44;18;;3;1108;203;1;;;332;1;;;;1;;5;;;;20;3;;;;3;23;21;8;;;2;;26;;317;5;;;;;;47;;;2;;8;;23;40;;2;30;;;10;;;;;320;2;;16;;;382;342;35;1;;;;3;66;1;2;;;11;;;;;;2;1987;;;;;5;21;9;;;13;;;95;57;;4;;;;3;;;;6;1;;;5;;;2;111;;;5;57;;2;;;9;;2;1;12;532;3;;47;;16;33;6;;6135;;;;;10;3;;;12;1;9;;11;26;38;;;;;2279;;19
Avedoere;857;;1106;;;;1915;3139;;210;;1927;5178;2;;;59;;;;;;59230;619;;;;651;;;1056;675;728;33181;695;;;;1682;;126;;182;1190;7772;;;250;120089;;5121;51;;753;;;566;77;;7022;4237;;;;;;;282;398;;21;;;5483;939;;2212;;;4445;;;;;;456;107;;;;607;;300;;19813;;409;315;;;428;;339;;;;58828;142;;836;89;354;1029;162;2642;;1863;;447;117;;;;324;92;233;;;78451;5159;5512;;;;;297;;;;43;;9202;;2194;;50;465;178;11509;20580;235;321;579;;;;15531;114293;;548;;157;;;394;;;;;;;;;257;1107;;71;;3499;;;;464;;;;;22732;;;;;;1;106;206;653;;;604;;201;4587;432;202;;284;439;;;;;;;12105;18;;;;;15112;;;;;;;;;;;;99;;;34;;;;1329;698;103;;1560;;;;1548;30387;;591;240;1;;;51;;;;49;;27726;1;;54;1618;;33;;257;;;81;;479;;3046;;187;1181;14235;;;;1494;14015;186;;
Bedsted Thy;;;2;;15;;;;;;;;;10;;;8;18;6;;;1;;5;;;;;;8;;1;;;;;;;;;3;;2;9;;67;3;4;;;;;;;12;;6;;;;;;;;;23;4;;;;;;;12;45;;4;110;;3;2;;1;2;3;;;;424;;2;42;;42;;6655;;;39;;1;;70;;4;15;;;5;;1;;;;;;;;;;13;;;;2;3;;;560;37;;;;18;;;3;;;;;2;12;;4;;;17;2;2;2;19;25;;2;3;1;10;;39;1;;3;;;;51;;;;;;14;10;24;;;;;;5;;;;;18;;;938;;;34;125;11;1;;;;;29;1224;;;;;;;2;;;1;776;;;7;;2;13;1;;;2;1;;12124;;;;;;;;;;;;1;;;1;;;4;;8;1;;19;;;4;;2;;;;1;33;5;;1;;36;1;2;;12;4;;1;;1;3;;;;;1;;1;5;3;;1;;;597;;
Bernstorffsvej;1671;;2955;;;210;83;230;;;;3599;2822;;;;25;;;;;;585;1359;;;;214;;;2286;382;1222;2964;454;;116;;464;;;;416;540;5700;99;;517;1440;;3740;;;5271;;;2631;;;489;2524;;;;;;;;62;;26;;;25684;998;;596;;;4421;;;;;;364;;;;;9662;64;348;;404;;651;174;;;1392;;1252;;;;1015;;;122;;254;8525;61;240;;2126;;;147;3823;;;1157;90;86;;;18459;2578;1481;;205;;;28;;;;;;40479;;385;98;;716;295;16160;1782;408;214;843;;;;8827;94754;;1473;;1206;;;467;;;;;3;1;;;643;2260;;322;10;2276;;;;840;;;9;;1922;;;;;1;;238;90;253;;;750;1;242;454;4947;677;;;215;;;;;;;16061;;2;;;;2080;;;;2;;;;;;;;320;;;36;1;;;254;1655;44;;656;;;;6311;80;;387;88;125;;;358;;135;;;12;28384;1;;;746;;;;6974;;;250;;567;;929;;315;624;25686;;;;1974;360;507;;
Birkeroed;1759;;86351;112;;1927;159;160;;3599;1;;8230;19;29;;174;;;;;;1323;746;;;;;;;2693;2504;1464;10322;173;;;;1578;1;90;;42;;8133;292;;88;2403;;6463;6;;8602;;;653;45;1;516;5788;;;;;;;;253;16;292;;;44894;132;;737;71;;195775;;;;;;689;;;;;68421;222;94;;1851;13;62;135;1;;892;;1227;6;;13;2010;315;;504;;218;2447;203;359;;2282;;320;;211;;;43;433;337;;;45315;3702;2397;;1103;;;385;;;;;;166305;;67;251;54;;55;41997;5307;1909;403;1002;2104;101;;23397;214137;;3811;;2170;;;287;;;;;14;1;96;11;917;3628;;68;16;7642;22;;2;962;;1;66;;7543;3;;;371;32;19;169;;190;1;;2428;3;20;1642;6993;410;1;63;;;;5;;;;29986;;4;304;;;7743;;5;;20;;;;1;;;;543;;;349;5;;;592;1046;3409;;5156;;2;19;6645;805;;310;729;151;3;;467;188;589;;;;51893;51;;83;4219;;;;13464;;;482;;46;;891;5;;1244;47130;130;;2;2650;924;1542;;
Bispebjerg;18613;;9919;;;5178;5125;24036;;2822;;8230;;5;;;4;;;;;;4673;6631;;;;1697;;;6778;6860;13339;4837;400;;1064;;1415;;;;3437;4380;146130;;;9011;9933;;17347;;;4719;;;25972;;;3841;29761;;;;;;;293;563;;63;;;63699;6856;136;12915;;;25094;;;;;;193;6;;;;8113;;3441;;5639;;3830;128;;;5529;;13263;;;;15156;3073;;395;;1813;6088;15;1667;;24983;;1597;1342;3861;;;3401;;42;;;6108;263;5934;;2504;;;74;;;;;;42358;;7032;;;8671;2896;4605;43918;;66;332;;;;47180;4095;;343;;4909;;;1103;;;;;;;;;224;1519;;1391;3;42183;;;;6090;;;3;;2329;;;;;4;;1111;743;8461;;;648;;1671;2119;5291;51;;1682;5497;;;;;;;2607;;;;;;4040;;1;;11;;;;;;;;739;;;62;;;;209;11825;20;;1352;;;;12646;4205;;615;2134;8;;;1499;;;;2320;;1686;4;;;51481;;;;5124;;;212;;3374;;3977;2;3568;307;5133;;;;38489;1937;;;
